departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,producto,precio,Year,Month,Day
05,ANTIOQUIA,05154,CAUCASIA,ESTACION DE SERVICIO AUTOMOTRIZ LA MAGNETICA,TEXACO,GASOLINA CORRIENTE,8700,2016,9,8
20,CESAR,20787,TAMALAMEQUE,ESTACION DE SERVICIO MULTISERVICIOS MEKE,TERPEL,GASOLINA CORRIENTE,6700,2016,9,14
20,CESAR,20787,TAMALAMEQUE,ESTACION DE SERVICIO MULTISERVICIOS MEKE,TERPEL,BIODIESEL,6500,2016,9,14
05,ANTIOQUIA,05579,PUERTO BERRIO,SERVICENTRO SAN JUDAS,TERPEL,GASOLINA CORRIENTE,7770,2016,9,23
05,ANTIOQUIA,05579,PUERTO BERRIO,SERVICENTRO SAN JUDAS,TERPEL,BIODIESEL,7260,2016,9,23
27,CHOCO,27361,ISTMINA,BOMBA LA PEPE,BIOMAX,BIODIESEL,7940,2016,10,1
27,CHOCO,27361,ISTMINA,BOMBA LA PEPE,BIOMAX,GASOLINA CORRIENTE,8810,2016,10,1
76,VALLE DEL CAUCA,76147,CARTAGO,MASGAS CARTAGO,BIOMAX,BIODIESEL,7544,2016,10,3
76,VALLE DEL CAUCA,76147,CARTAGO,MASGAS CARTAGO,BIOMAX,GASOLINA CORRIENTE,7885,2016,10,3
44,LA GUAJIRA,44430,MAICAO,ESTACION DE SERVICIO KAIWA,AYATAWACOOP,GASOLINA CORRIENTE,5500,2016,10,4
44,LA GUAJIRA,44430,MAICAO,ESTACION DE SERVICIO KAIWA,AYATAWACOOP,BIODIESEL,6311,2016,10,4
70,SUCRE,70429,MAJAGUAL,EDS SERVICOM LAS PALMITAS,PETROMIL,BIODIESEL,7790,2016,10,5
70,SUCRE,70429,MAJAGUAL,EDS SERVICOM LAS PALMITAS,PETROMIL,GASOLINA CORRIENTE,8090,2016,10,5
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVICENTRO MAZ - AUTOS,MOBIL,BIODIESEL,7390,2016,10,10
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA EL PESCADOR No 3,PETROMIL,GASOLINA CORRIENTE,5856,2016,10,10
76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO SERVICENTRO MAZ - AUTOS,MOBIL,GASOLINA CORRIENTE,7390,2016,10,10
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO GASOLINERA EL PESCADOR No 3,PETROMIL,BIODIESEL,5903,2016,10,10
05,ANTIOQUIA,05250,EL BAGRE,GASOLINERA LA BOYA EFRAIN,TEXACO,GASOLINA CORRIENTE,8400,2016,11,1
50,META,50350,LA MACARENA,ESTACION EL ALTICO,TERPEL,BIODIESEL,8300,2016,11,1
52,NARIÑO,52835,TUMACO,COMBUSTIBLES Y LUBRICANTES LLANAJE,BIOMAX,BIODIESEL,6713,2016,11,1
05,ANTIOQUIA,05250,EL BAGRE,GASOLINERA LA BOYA EFRAIN,TEXACO,BIODIESEL,8200,2016,11,1
85,CASANARE,85430,TRINIDAD,ESTACION DE SERVICIO LOS ANDES,TERPEL,GASOLINA CORRIENTE,8000,2016,11,1
44,LA GUAJIRA,44430,MAICAO,ESTACION DE SERVICIO PACHITO,AYATAWACOOP,BIODIESEL,4000,2016,11,1
52,NARIÑO,52835,TUMACO,ESTACION DE SERVICIO LOS HERMANOS No 2,BIOMAX,GASOLINA CORRIENTE,6182,2016,11,1
85,CASANARE,85430,TRINIDAD,ESTACION DE SERVICIO LOS ANDES,TERPEL,BIODIESEL,7400,2016,11,1
52,NARIÑO,52835,TUMACO,COMBUSTIBLES Y LUBRICANTES LLANAJE,BIOMAX,GASOLINA CORRIENTE,6657,2016,11,1
44,LA GUAJIRA,44430,MAICAO,ESTACION DE SERVICIO PACHITO,AYATAWACOOP,GASOLINA CORRIENTE,3800,2016,11,1
50,META,50350,LA MACARENA,ESTACION EL ALTICO,TERPEL,GASOLINA CORRIENTE,8200,2016,11,1
23,CORDOBA,23417,LORICA,ESTACION DE GASOLINA EL RODEO,PUMA,BIODIESEL,8050,2016,11,3
23,CORDOBA,23417,LORICA,ESTACION DE GASOLINA EL RODEO,PUMA,GASOLINA CORRIENTE,8600,2016,11,3
